id,Age,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,NumberOfTrips,MonthlyIncome,ProdTaken,Motivation,EconomicPower,TripEasier,SalesPerformance,LivingCost,EconomicStability,NumberOfTrips_log,TravelCost,EconomicSegment,PackageMatch,Monetary,ContractRate_FM,ContractRate_G1,ContractRate_G2,ContractRate_G3,ContractRate_G4,ContractRate_G5,ContractRate_G6,AgeNull,DurationOfPitchNull,NumberOfTripsNull,MonthlyIncomeNull,TypeofContact_No,TypeofContact_Self Enquiry,CityTier_2,CityTier_3,Occupation_Salaried,Occupation_Small Business,Gender_male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,PreferredPropertyStar_4,PreferredPropertyStar_5,Passport_1,PitchSatisfactionScore_2,PitchSatisfactionScore_3,PitchSatisfactionScore_4,PitchSatisfactionScore_5,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,Marry_Married,Marry_Single,Car_No Car,Child_1_child,Child_2_child,Child_3_child,AgeGroup_20s,AgeGroup_30s,AgeGroup_40s,AgeGroup_50s,AgeGroup_60s,TypeofContactNULL_1,Child01_1,IsFamily_1,FreaqencySeg_1,FreaqencySeg_2,MonetarySeg_2,MonetarySeg_3,MonetarySeg_4
0,-0.10677351185968446,0.08477347406547862,-1.908668665252153,0.3709190080682211,0.09603059080508587,-1.3495957171996598,1,0.8235975312244552,-0.2579711069085161,4.39658136891806,2.351728909462847,0.9202552043299391,0.254360178771598,0.4786052276789829,-0.25908057194823675,0,1.10623591666638,0.39863733242753074,0.011384624707392451,0.7448793168862732,2.321619569706542,2.1369672600008425,0.38271282874411966,2.0795037620258023,0.4106727091370307,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,0.0202462607704516,-0.05975359703857913,-1.908668665252153,0.3709190080682211,-0.5600739744408887,0.6423805715294457,0,0.8235975312244552,1.3649234324554889,-0.02764347999608156,2.3757936349869606,-0.08863322110992665,1.0503113924787408,-0.7248802196823793,-0.9259449786041962,1,1.10623591666638,-0.7009588110795005,-0.5057993415775487,-0.264132386708329,0.6957452926159703,0.39363800830354634,-0.36713211632781123,0.34943196338026716,-0.3710103459087531,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,-0.10708914283402718,-0.637861881454815,-1.908668665252153,-0.6698018758481625,-0.12267093094357233,-1.028910951052396,1,-1.427745036500856,0.21565803848512802,1.7420464595695753,1.875411730664848,-0.5282701168765414,0.30144217372847354,0.16204714810266968,-0.4344888549246924,2,1.10623591666638,0.1110586569787116,0.37464438015811935,0.5435758331969034,0.22674309730138226,0.6130244116412225,0.9944109763828138,0.6294691379429461,1.003059476625257,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
3,-0.10708914405990849,0.5183546873776552,-1.908668665252153,-0.6698018758481625,-0.7787754961895469,-0.38516009623696623,0,-1.427745036500856,-0.8858793531646932,-0.02764347999608156,2.147261538964681,0.7215741015356345,-0.3603317669484511,-1.4288740765524013,-0.5015624600216596,3,-0.6095485302102598,-1.4303425554863607,2.870515773452382,-0.8340079146312696,-0.8517735976268634,-0.5782654660422201,-0.5922978553996183,-0.581323662386776,-0.5971387116602089,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,-0.10704642850357408,0.37382761627359634,-1.908668665252153,-0.6698018758481625,-0.12267093094357233,-1.2896657670904594,1,-1.427745036500856,-2.0522077859476004,4.39658136891806,1.7319671646360069,2.603986875459266,-1.345254322170802,0.16204714810266968,0.8207577319366972,4,-0.6095485302102598,0.09502905079227739,0.37464438015811935,-0.44344487980787356,-0.5620065066427744,0.292174401061904,0.6719304782728294,0.29358009345179653,0.6760734874441056,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,-0.10708914477334282,0.22930054516953802,-1.908668665252153,-0.6698018758481625,-0.5600739744408887,-1.2689614907282298,0,-1.427745036500856,-0.25240856362621633,4.39658136891806,1.7472400573197748,0.9336359188815568,-1.342916257589932,-0.7248802196823793,-0.9259449786041962,5,1.10623591666638,-0.7667469988154144,-0.5057993415775487,3.390582245375129,3.134556708251828,3.1331554038278693,3.712944126533769,3.0495269243433,3.6100767376467466,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,-0.10707343033589138,-0.05975359703857913,-1.908668665252153,-0.6698018758481625,-0.12267093094357233,1.2867267569751208,0,-1.427745036500856,-1.6491595416348983,0.8572014897867468,1.7818452262402205,2.996229311736012,0.24781560402082592,0.16204714810266968,0.8207577319366972,6,1.10623591666638,0.2175210281877825,0.37464438015811935,-0.8218028197930387,-0.7834335609777079,-0.8384564987287499,-0.8794296265825509,-0.6486863819921578,-0.7133872333762873,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,-0.10697302991345087,1.0964629717938905,-1.908668665252153,-0.6698018758481625,0.7521351560510605,-1.2438253085632207,0,-1.427745036500856,-0.2507011827180539,1.7420464595695753,1.6698801876895597,0.29798938548045995,-1.3400965544422936,1.182599084549006,0.1310100990111642,5,1.10623591666638,1.0916401284918371,0.011384624707392451,1.158270399462657,0.680829014844497,0.292174401061904,0.6719304782728294,0.29358009345179653,0.6760734874441056,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
8,-0.10708914476027583,0.8074088295857762,-1.908668665252153,-0.6698018758481625,-0.12267093094357233,-1.430362239366697,1,-1.427745036500856,-0.9357980889089744,4.39658136891806,1.692307517807359,0.9065265898397442,0.2417931528194791,0.16204714810266968,-0.4344888549246924,0,1.10623591666638,0.08586422110988166,-0.5057993415775487,0.5435758331969034,0.22674309730138226,0.6130244116412225,0.9944109763828138,0.6294691379429461,1.003059476625257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,-0.10708914477157441,-0.49333481035075677,-1.908668665252153,-0.6698018758481625,-0.5600739744408887,-1.3005801619778954,0,-1.427745036500856,1.2062376183341372,1.7420464595695753,1.3859472074176369,-0.8031030079241062,1.4315370002655328,-0.7248802196823793,-0.9259449786041962,7,1.10623591666638,-0.7681218122345898,-0.5057993415775487,1.228560349008218,0.8414329518534768,0.6130244116412225,0.9944109763828138,-0.581323662386776,-0.5971387116602089,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
