NumberOfPersonVisiting,Passport,age,duration,follow,trip_per_year,income,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Small Business,gender_female,product_pitched_Deluxe,product_pitched_King,product_pitched_Standard,product_pitched_Super Deluxe,designation_AVP,designation_Manager,designation_Senior Manager,designation_VP,info_1_Divorced,info_1_Married,info_2_Has Car,info_3_1,info_3_2,info_3_3,CityTier_1,CityTier_2,PreferredPropertyStar_3,PreferredPropertyStar_4,PitchSatisfactionScore_1,PitchSatisfactionScore_2,PitchSatisfactionScore_3,PitchSatisfactionScore_4
-0.5538308958425242,0,-1.0947992145255008,-0.13912679282406082,3,-0.4150374992788437,-0.9954566675667575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0.8226090242790112,0,0.11877777934780538,-1.0755144002006283,6,1.0,1.4102693289068982,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
0.8226090242790112,0,0.32104061166002307,-0.6390263557721367,4,1.0,-0.10543379272906574,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
-0.5538308958425242,0,-1.2970620468377185,0.0,3,0.0,-1.1340495123251608,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0.8226090242790112,0,0.11877777934780538,0.12882403489689886,3,1.7004397181410926,-0.28069667526046443,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
-1.9302708159640596,0,-0.4880107175888477,-0.6390263557721367,3,-0.4150374992788437,-0.998135123286634,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
0.8226090242790112,0,-0.18461646912052115,-0.8436229254962442,5,0.0,0.2718978519256054,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
0.8226090242790112,0,-0.9936677983693919,0.0,4,0.0,-0.4787199775770285,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
-0.5538308958425242,0,0.017646363191696542,-0.6390263557721367,3,-0.4150374992788437,-0.9948388482312707,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
-0.5538308958425242,0,-0.38687930143273885,0.0,3,0.8073549220576042,-0.8578896903036886,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
0.8226090242790112,0,1.028960524752785,-0.6390263557721367,4,2.3923174227787607,0.5463115214824351,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
0.8226090242790112,0,-1.9038505437743716,0.12882403489689886,3,0.0,0.7659245918274986,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
2.1990489444005465,0,0.32104061166002307,-0.8436229254962442,4,1.0,1.3392141047155006,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
-0.5538308958425242,0,-0.0834850529644123,-0.45597054411127474,3,-0.4150374992788437,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
-1.9302708159640596,0,-0.892536382213283,-0.8436229254962442,3,-0.4150374992788437,1.007309571305039,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0.8226090242790112,0,0.32104061166002307,0.8338367564867019,5,1.1699250014423128,0.04688420077366136,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
