id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marry,Car,Child,AgeGroup,TypeofContactNULL,Motivation,EconomicPower,Child01,TripEasier,SalesPerformance,LivingCost,EconomicStability,NumberOfTrips_log,TravelCost,EconomicSegment,PackageMatch,IsFamily,FreaqencySeg,Monetary,MonetarySeg,ContractRate_FM,ContractRate_G1,ContractRate_G2,ContractRate_G3,ContractRate_G4,ContractRate_G5,ContractRate_G6,TypeofContact_CityTier,TypeofContact_Occupation,TypeofContact_Gender,TypeofContact_ProductPitched,TypeofContact_PreferredPropertyStar,TypeofContact_Passport,TypeofContact_PitchSatisfactionScore,TypeofContact_Designation,TypeofContact_Marry,TypeofContact_Car,TypeofContact_Child,CityTier_Occupation,CityTier_Gender,CityTier_ProductPitched,CityTier_PreferredPropertyStar,CityTier_Passport,CityTier_PitchSatisfactionScore,CityTier_Designation,CityTier_Marry,CityTier_Car,CityTier_Child,Occupation_Gender,Occupation_ProductPitched,Occupation_PreferredPropertyStar,Occupation_Passport,Occupation_PitchSatisfactionScore,Occupation_Designation,Occupation_Marry,Occupation_Car,Occupation_Child,Gender_ProductPitched,Gender_PreferredPropertyStar,Gender_Passport,Gender_PitchSatisfactionScore,Gender_Designation,Gender_Marry,Gender_Car,Gender_Child,ProductPitched_PreferredPropertyStar,ProductPitched_Passport,ProductPitched_PitchSatisfactionScore,ProductPitched_Designation,ProductPitched_Marry,ProductPitched_Car,ProductPitched_Child,PreferredPropertyStar_Passport,PreferredPropertyStar_PitchSatisfactionScore,PreferredPropertyStar_Designation,PreferredPropertyStar_Marry,PreferredPropertyStar_Car,PreferredPropertyStar_Child,Passport_PitchSatisfactionScore,Passport_Designation,Passport_Marry,Passport_Car,Passport_Child,PitchSatisfactionScore_Designation,PitchSatisfactionScore_Marry,PitchSatisfactionScore_Car,PitchSatisfactionScore_Child,Designation_Marry,Designation_Car,Designation_Child,Marry_Car,Marry_Child,Car_Child,AgeNull,DurationOfPitchNull,NumberOfTripsNull,MonthlyIncomeNull,ProdTaken
0,50,1,2,6.803505257608338,2,1,1,4,4,3,5,1,4,4,12.44471939876448,1,0,0,5,0,14,32.356270436787646,0,48,2.351728909462847,9.572861075972677,16.427029606369114,1.791759469228055,2.791759469228055,0,1.0,0,1,22.29794382462232,3,0.1433155080213903,0.2444444444444444,0.5,0.4545454545454545,0.1923076923076923,0.4545454545454545,0.1973684210526315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,56,2,1,6.734591659972948,0,1,1,4,1,3,2,1,4,3,12.910347681211167,2,1,0,5,0,14,50.35035595672356,0,8,2.3757936349869606,8.19704614680074,18.46179718413197,1.0986122886681098,2.09861228866811,1,1.0,0,0,14.183466613556424,2,0.134929906542056,0.1088435374149659,0.25,0.2,0.0970464135021097,0.1951219512195122,0.0952380952380952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
2,38,1,1,6.398594934535208,2,0,1,3,4,3,4,0,4,4,12.535901434670214,0,0,0,3,0,3,37.60770430401064,0,24,1.875411730664848,7.59751602101225,16.547389893764684,1.6094379124341005,2.6094379124341005,2,1.0,1,0,20.17575503549527,3,0.1472081218274111,0.217391304347826,0.1778846153846154,0.2320328542094455,0.2700186219739292,0.2371134020618556,0.2747663551401869,2,0,2,0,0,2,0,0,2,0,0,2,2,2,1,2,1,2,2,2,1,2,0,0,2,0,0,2,0,0,2,1,1,1,2,2,2,1,0,2,0,0,2,0,0,1,0,0,2,0,0,1,2,2,2,1,0,2,0,0,2,0,0,2,2,0,1,0,0,0,1
3,37,1,2,6.985641817639208,1,0,1,3,1,4,1,0,5,3,12.697122001652566,2,1,0,3,0,3,25.394244003305133,0,8,2.147261538964681,9.301920880331547,14.855632741933505,0.6931471805599453,2.539720770839918,3,0.8,0,0,8.800974316671125,1,0.180327868852459,0.032258064516129,0.0120481927710843,0.0580912863070539,0.0684410646387832,0.0555555555555555,0.0656934306569343,0,2,2,2,2,2,2,2,3,2,0,3,3,3,2,3,2,3,3,3,0,3,2,2,3,2,2,3,2,2,3,2,1,2,3,3,3,1,2,3,2,1,1,1,1,2,1,2,3,2,1,2,3,3,3,1,2,3,2,1,1,1,1,1,1,1,0,0,0,0,0
4,48,2,3,6.928537818164665,1,0,1,3,4,4,4,0,4,4,12.462403360072058,1,1,0,4,0,3,12.462403360072058,0,48,1.7319671646360069,11.868955581021009,12.337779326471338,1.6094379124341005,3.914156868651151,4,0.8,0,0,20.05746444774609,3,0.1472081218274111,0.0847457627118644,0.0566037735849056,0.1851851851851851,0.2290502793296089,0.1867469879518072,0.2320441988950276,3,3,3,3,3,3,1,3,4,1,1,4,4,4,3,4,3,4,4,4,2,3,3,2,3,3,3,4,2,2,2,2,1,1,2,4,3,1,3,2,0,0,0,2,0,2,2,3,4,2,1,1,2,4,3,1,0,0,1,0,0,2,0,3,0,1,0,0,0,0,1
5,19,1,2,6.8679744089702925,1,1,1,3,4,3,2,0,4,4,12.468440756144114,1,0,0,1,0,3,32.417945965974695,0,48,1.7472400573197748,9.59110827395701,12.343756348582671,1.0986122886681098,2.09861228866811,5,1.0,0,0,13.697982235230224,2,0.134929906542056,0.6,0.625,0.6,0.6153846153846154,0.6,0.6153846153846154,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,3,3,3,3,3,4,3,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,47,2,3,6.734591659972948,1,1,1,3,3,4,4,0,4,2,13.024046883161828,1,1,0,4,0,3,16.931260948110378,0,16,1.7818452262402205,12.403854174439836,16.410299072783904,1.6094379124341005,3.914156868651151,6,1.0,0,0,20.961394827079825,3,0.1472081218274111,0.0338983050847457,0.0225563909774436,0.0201005025125628,0.0319634703196347,0.0454545454545454,0.0505050505050505,3,3,1,4,3,3,1,4,4,1,1,4,5,5,3,4,3,5,4,4,2,4,4,2,3,3,4,4,2,2,4,3,2,0,4,0,1,0,4,4,3,2,3,3,2,2,2,4,4,2,1,1,4,4,3,1,3,0,1,0,3,3,2,3,0,1,0,0,0,0,0
7,49,1,2,7.186144304522325,1,1,1,3,4,3,8,0,4,4,12.475721848739754,0,0,0,4,0,3,32.43687680672336,0,24,1.6698801876895597,8.724281013104722,12.350964630252358,2.19722457733622,3.19722457733622,5,1.0,1,1,27.411962666061445,3,0.1433155080213903,0.3,0.2477064220183486,0.1851851851851851,0.2290502793296089,0.1867469879518072,0.2320441988950276,0,2,0,0,0,2,0,0,2,0,0,3,0,0,0,3,0,0,5,0,0,4,3,3,3,3,3,5,3,2,0,0,2,0,0,5,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,1,2,2,2,1,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0
8,33,2,2,7.090909822079984,2,0,1,3,4,3,4,0,4,4,12.420381283681548,1,0,0,3,0,3,24.840762567363097,0,48,1.692307517807359,9.554139448985806,16.394903294459645,1.6094379124341005,2.6094379124341005,0,1.0,0,0,19.989832524844,2,0.134929906542056,0.217391304347826,0.1778846153846154,0.2320328542094455,0.2700186219739292,0.2371134020618556,0.2747663551401869,4,4,3,3,1,3,1,3,4,3,1,0,3,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,1,1,1,2,4,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,31,2,1,6.493753839851686,2,1,1,3,4,3,2,0,3,3,12.459205974163991,0,1,0,3,0,3,48.59090329923957,0,24,1.3859472074176369,7.222728100964632,19.436361319695827,1.0986122886681098,2.09861228866811,7,1.0,1,0,13.687836790263688,2,0.134929906542056,0.3094462540716612,0.2724014336917563,0.2320328542094455,0.2700186219739292,0.0555555555555555,0.0656934306569343,1,4,1,3,1,3,3,1,5,1,1,2,1,2,1,2,4,1,2,1,1,0,0,0,2,4,5,2,4,0,0,0,2,3,1,5,1,0,0,2,4,3,2,2,0,1,3,1,2,1,0,3,3,2,3,1,4,4,3,2,4,1,1,4,2,1,0,0,0,0,0
10,51,2,1,6.734591659972948,1,0,1,3,1,3,4,0,3,3,12.771105165022036,1,1,0,5,0,3,38.31331549506611,0,16,1.3363839196801657,8.10863820001399,14.942193043075784,1.6094379124341005,2.6094379124341005,8,1.0,0,0,20.55430083626942,3,0.1472081218274111,0.0777777777777777,0.0571428571428571,0.0761421319796954,0.0970464135021097,0.0736842105263157,0.0952380952380952,1,3,3,1,1,3,3,1,4,1,1,5,2,1,1,2,4,1,6,1,1,3,2,3,3,5,2,4,2,2,3,1,1,4,3,4,3,1,1,3,5,1,4,1,1,1,3,1,0,1,0,3,3,4,3,1,4,5,3,2,5,1,1,3,0,1,0,0,0,0,0
11,46,1,1,6.8679744089702925,1,1,1,3,3,4,24,0,3,2,12.939476060598356,2,1,0,4,0,3,50.46395663633359,0,8,1.310430042989831,8.215540355935463,16.30373983635393,3.218875824868201,6.3283137373023015,9,1.0,0,2,41.650566677920864,4,0.1326164874551971,0.0338983050847457,0.0225563909774436,0.0201005025125628,0.0319634703196347,0.0454545454545454,0.0505050505050505,2,2,0,5,2,2,4,5,3,2,0,5,1,6,4,2,4,6,1,1,1,4,4,2,3,5,4,3,2,2,4,3,2,3,4,1,1,0,4,4,6,2,5,3,2,2,4,4,3,2,1,3,4,3,3,1,5,6,3,2,6,3,2,1,1,1,0,0,0,0,0
