CityTier,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,Passport,PitchSatisfactionScore,ProdTaken,age,duration,trip_per_year,income,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Small Business,gender_female,product_pitched_Deluxe,product_pitched_King,product_pitched_Standard,product_pitched_Super Deluxe,designation_AVP,designation_Manager,designation_Senior Manager,designation_VP,info_1_Divorced,info_1_Married,info_2_Has Car,info_3_1,info_3_2,info_3_3
2,1,4,3,1,4,1,50,900.0,5,253905.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,4,3,1,4,0,56,840.0,2,404475.0,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
1,1,3,3,0,4,1,38,600.0,4,278145.0,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1,3,4,0,5,0,37,1080.0,1,326805.0,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False
3,1,3,4,0,4,1,48,1020.0,4,258435.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,1,3,3,0,4,0,19,960.0,2,260000.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,1,3,4,0,4,0,47,840.0,4,453180.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
2,1,3,3,0,4,0,49,1320.0,8,261900.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1,3,3,0,4,1,33,1200.0,4,247800.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,3,3,0,3,0,31,660.0,2,257610.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
1,1,3,3,0,3,0,51,840.0,4,351900.0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,1,3,4,0,3,0,46,960.0,24,416430.0,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
1,1,3,3,0,3,0,49,1920.0,4,477555.0,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
2,1,3,4,0,4,0,51,1020.0,5,440000.0,True,False,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False
2,1,3,3,0,3,1,53,840.0,1,300000.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,3,3,0,4,1,20,1440.0,8,253665.0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,1,3,3,0,3,1,25,1380.0,1,258600.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,3,3,0,3,1,53,2100.0,4,500000.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
2,1,3,3,1,3,0,20,420.0,1,400000.0,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False
2,1,3,3,1,4,0,44,300.0,1,286245.0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
1,1,3,3,0,3,0,30,480.0,2,455250.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2,1,3,3,0,4,0,34,960.0,2,263715.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1,1,3,3,0,3,1,29,480.0,1,262725.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2,1,3,3,0,3,0,56,900.0,1,431265.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False
2,1,3,3,0,4,0,30,960.0,2,250275.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2,1,3,3,0,4,0,41,780.0,1,303345.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
1,1,3,3,0,4,0,38,780.0,1,256845.0,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
1,1,3,3,0,3,0,50,840.0,2,368940.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,1,3,3,0,3,0,52,1020.0,4,456405.0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False
2,1,3,3,0,4,1,22,600.0,1,258885.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,3,3,1,3,0,36,900.0,1,316680.0,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False
