id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup,TypeofContactNULL,Motivation,EconomicPower,Child01,TripEasier,SalesPerformance,LivingCost,EconomicStability,NumberOfTrips_log,TravelCost,EconomicSegment,PackageMatch,IsFamily,FreaqencySeg,Monetary,MonetarySeg,ContractRate_FM,ContractRate_G1,ContractRate_G2,ContractRate_G3,ContractRate_G4,ContractRate_G5,ContractRate_G6
0,50,Self Enquiry,2,6.803505257608338,Large Business,male,1,4,Basic,3,5,1,4,Executive,12.44471939876448,1,Single,No Car,0_child,50s,0,14,32.356270436787646,0,48,2.351728909462847,9.572861075972677,16.427029606369114,1.791759469228055,2.791759469228055,0,1.0,0,1,22.297943824622322,3,0.14238773274917854,0.24444444444444444,0.5,0.45454545454545453,0.19230769230769232,0.45454545454545453,0.19736842105263158
1,56,Company Invited,1,6.734591659972948,Salaried,male,1,4,Standard,3,2,1,4,Senior Manager,12.910347681211167,0,Divorced,Has Car,0_child,50s,0,14,50.35035595672356,0,8,2.3757936349869606,8.19704614680074,18.46179718413197,1.0986122886681098,2.09861228866811,1,1.0,0,0,14.183466613556424,2,0.13552479815455595,0.10884353741496598,0.25,0.2,0.0970464135021097,0.1951219512195122,0.09523809523809523
2,38,Self Enquiry,1,6.398594934535208,Large Business,female,1,3,Basic,3,4,0,4,Executive,12.535901434670214,1,Married,No Car,0_child,30s,0,3,37.60770430401064,0,24,1.8754117306648475,7.59751602101225,16.547389893764684,1.6094379124341003,2.6094379124341005,2,1.0,1,0,20.17575503549527,3,0.14720812182741116,0.21739130434782608,0.1778846153846154,0.23203285420944558,0.27001862197392923,0.23711340206185566,0.27476635514018694
3,37,Self Enquiry,2,6.985641817639208,Small Business,female,1,3,Standard,4,1,0,5,Senior Manager,12.697122001652566,0,Divorced,Has Car,0_child,30s,0,3,25.394244003305133,0,8,2.147261538964681,9.301920880331549,14.855632741933503,0.6931471805599453,2.539720770839918,3,0.8,0,0,8.800974316671125,1,0.18032786885245902,0.03225806451612903,0.012048192771084338,0.058091286307053944,0.06844106463878327,0.05555555555555555,0.06569343065693431
4,48,Company Invited,3,6.928537818164665,Small Business,female,1,3,Basic,4,4,0,4,Executive,12.462403360072058,1,Single,Has Car,0_child,40s,0,3,12.462403360072058,0,48,1.7319671646360069,11.868955581021007,12.337779326471338,1.6094379124341003,3.9141568686511508,4,0.8,0,0,20.05746444774609,3,0.14720812182741116,0.0847457627118644,0.05660377358490566,0.18518518518518517,0.22905027932960895,0.18674698795180722,0.23204419889502761
5,19,Self Enquiry,2,6.8679744089702925,Small Business,male,1,3,Basic,3,2,0,4,Executive,12.468440756144114,0,Single,No Car,0_child,10s,0,3,32.417945965974695,0,48,1.7472400573197748,9.59110827395701,12.343756348582673,1.0986122886681098,2.09861228866811,5,1.0,0,0,13.697982235230223,2,0.13552479815455595,0.6,0.625,0.6,0.6153846153846154,0.6,0.6153846153846154
6,47,Company Invited,3,6.734591659972948,Small Business,male,1,3,Deluxe,4,4,0,4,AVP,13.024046883161828,0,Single,Has Car,0_child,40s,0,3,16.931260948110378,0,16,1.7818452262402205,12.403854174439836,16.410299072783904,1.6094379124341003,3.9141568686511508,6,1.0,0,0,20.961394827079822,3,0.14720812182741116,0.03389830508474576,0.022556390977443608,0.020100502512562814,0.0319634703196347,0.045454545454545456,0.050505050505050504
7,49,Self Enquiry,2,7.186144304522325,Small Business,male,1,3,Basic,3,8,0,4,Executive,12.475721848739754,0,Married,No Car,0_child,40s,0,3,32.43687680672336,0,24,1.6698801876895595,8.724281013104722,12.350964630252358,2.1972245773362196,3.1972245773362196,5,1.0,1,1,27.411962666061445,3,0.14238773274917854,0.3,0.24770642201834864,0.18518518518518517,0.22905027932960895,0.18674698795180722,0.23204419889502761
8,33,Company Invited,2,7.090909822079984,Large Business,female,1,3,Basic,3,4,0,4,Executive,12.420381283681548,1,Single,No Car,0_child,30s,0,3,24.840762567363097,0,48,1.692307517807359,9.554139448985806,16.394903294459645,1.6094379124341003,2.6094379124341005,0,1.0,0,0,19.989832524844,2,0.13552479815455595,0.21739130434782608,0.1778846153846154,0.23203285420944558,0.27001862197392923,0.23711340206185566,0.27476635514018694
9,31,Company Invited,1,6.493753839851686,Large Business,male,1,3,Basic,3,2,0,3,Senior Manager,12.459205974163991,0,Married,Has Car,0_child,30s,0,3,48.590903299239564,0,24,1.3859472074176369,7.222728100964632,19.436361319695827,1.0986122886681098,2.09861228866811,7,1.0,1,0,13.687836790263688,2,0.13552479815455595,0.30944625407166126,0.2724014336917563,0.23203285420944558,0.27001862197392923,0.05555555555555555,0.06569343065693431
